iter	Passed	Remaining
0	1	106
1	1	89
2	2	85
3	3	83
4	4	87
5	5	92
6	6	90
7	7	89
8	8	89
9	9	89
10	10	88
11	11	86
12	12	84
13	13	82
14	14	82
15	15	81
16	16	81
17	17	80
18	18	79
19	19	78
20	20	76
21	21	76
22	22	75
23	23	73
24	24	72
25	25	71
26	25	70
27	26	69
28	27	68
29	28	67
30	29	65
31	30	65
32	31	64
33	32	63
34	33	61
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	38	56
41	39	54
42	40	53
43	41	52
44	42	51
45	43	50
46	44	49
47	44	48
48	45	47
49	46	46
50	48	46
51	50	46
52	51	45
53	52	44
54	52	43
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	69	23
75	70	22
76	71	21
77	72	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	78	13
85	79	12
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	89	3
96	90	2
97	91	1
98	92	0
99	93	0
